binned,budget
0,800
0.01,800
0.02,800
0.03,800
0.04,800
0.05,800
0.06,800
0.07,800
0.08,800
0.09,800
0.1,800
0.11,800
0.12,800
0.13,800
0.14,800
0.15,800
0.16,800
0.17,800
0.18,800
0.19,800
0.2,800
0.21,800
0.22,800
0.23,800
0.24,800
0.25,800
0.26,800
0.27,800
0.28,800
0.29,800
0.3,800
0.31,800
0.32,800
0.33,800
0.34,800
0.35,800
0.36,800
0.37,800
0.38,800
0.39,800
0.4,800
0.41,800
0.42,800
0.43,800
0.44,800
0.45,782.61
0.46,747.66
0.47,779.75
0.48,770.09
0.49,759.49
0.5,709.15
0.51,744.38
0.52,746.19
0.53,728.5
0.54,705.24
0.55,715.84
0.56,688.68
0.57,700.68
0.58,670.47
0.59,680.67
0.6,676.01
0.61,631.68
0.62,658.69
0.63,654.64
0.64,627.29
0.65,611.48
0.66,588.72
0.67,577.8
0.68,566.66
0.69,528.83
0.7,530.27
0.71,492.19
0.72,507.02
0.73,485.2
0.74,454.39
0.75,437.67
0.76,402.93
0.77,381.11
0.78,386.68
0.79,358.32
0.8,337.37
0.81,323.74
0.82,286.66
0.83,273.53
0.84,246.88
0.85,212.01
0.86,181.33
0.87,154.5
0.88,126.75
0.89,104.34
0.9,75.62
0.91,66.39
0.92,55.88
0.93,43.52
0.94,32.43
0.95,24.12
0.96,15.99
0.97,7.53
0.98,1.71
0.99,0.64
1,0
